Frame,Sub Frame,"Difference Between Positions - Unlabeled Track (4)➞Unlabeled Track (3)",,
,,"TX","TY","TZ"
Frames,Frames,"mm","mm","mm"
555596,0,"0.355351","119.403","-1.02286"
555597,0,"0.371884","119.437","-0.950453"
555598,0,"0.59558","119.971","0.128251"
555599,0,"0.700871","120.011","0.401021"
555600,0,"0.497999","119.464","-0.658681"
555601,0,"0.442844","119.453","-0.856195"
555602,0,"0.364273","119.404","-1.01713"
555603,0,"0.348519","119.455","-0.977483"
555604,0,"0.521709","119.975","0.00966065"
555605,0,"0.60034","119.996","0.176015"
555606,0,"0.506981","119.475","-0.625655"
555607,0,"0.357701","119.443","-0.929605"
555608,0,"0.352908","119.42","-0.979269"
555609,0,"0.376069","119.435","-0.968276"
555610,0,"0.696587","120.007","0.418573"
555611,0,"0.413726","119.434","-0.917258"
555612,0,"0.575827","119.959","0.0610131"
555613,0,"0.343901","119.421","-1.00429"
555614,0,"0.309764","119.412","-1.0898"
555615,0,"0.354128","119.421","-1.00219"
555616,0,"0.513988","119.476","-0.590115"
555617,0,"0.516837","119.456","-0.639025"
555618,0,"0.701525","119.998","0.37935"
555619,0,"0.605946","119.956","0.141224"
555620,0,"0.35671","119.435","-0.980931"
555621,0,"0.354945","119.433","-1.01032"
555622,0,"0.425697","119.453","-0.870008"
555623,0,"0.41165","119.448","-0.94645"
555624,0,"0.580471","119.957","0.081852"
555625,0,"0.444363","119.424","-0.857394"
555626,0,"0.504452","119.955","-0.0393516"
555627,0,"0.376124","119.439","-0.964872"
555628,0,"0.717276","120.011","0.477016"
555629,0,"0.570461","119.972","0.0720914"
555630,0,"0.430067","119.444","-0.859307"
555631,0,"0.445613","119.438","-0.810349"
555632,0,"0.5243","119.958","0.0153194"
555633,0,"0.373683","119.444","-0.958295"
555634,0,"0.713479","119.995","0.385847"
555635,0,"0.583112","119.968","0.0634919"
555636,0,"0.448523","119.461","-0.8303"
555637,0,"0.361443","119.403","-1.09745"
555638,0,"0.363295","119.405","-1.04438"
555639,0,"0.467408","119.42","-0.827954"
555640,0,"0.595763","119.962","0.107681"
555641,0,"0.440949","119.451","-0.853013"
555642,0,"0.566574","119.956","0.0187703"
555643,0,"0.388785","119.421","-0.996227"
555644,0,"0.364936","119.386","-1.08339"
555645,0,"0.504542","119.919","-0.104677"
555646,0,"0.416371","119.401","-0.956306"
555647,0,"0.486326","119.438","-0.744554"
555648,0,"0.691657","119.965","0.317016"
555649,0,"0.375188","119.418","-0.997825"
555650,0,"0.363316","119.434","-0.9743"
555651,0,"0.306173","119.375","-1.17052"
555652,0,"0.44351","119.443","-0.887928"
555653,0,"0.576479","119.946","0.0470515"
555654,0,"0.401338","119.464","-0.908969"
555655,0,"0.418222","119.433","-0.919584"
555656,0,"0.345736","119.429","-0.981097"
555657,0,"0.376001","119.392","-1.00355"
555658,0,"0.597401","119.961","0.117799"
555659,0,"0.703363","119.999","0.439867"
555660,0,"0.49834","119.466","-0.650731"
555661,0,"0.378517","119.416","-0.988331"
555662,0,"0.355949","119.415","-0.982169"
555663,0,"0.333562","119.412","-1.05024"
555664,0,"0.410221","119.455","-0.855978"
555665,0,"0.41224","119.442","-0.911853"
555666,0,"0.398771","119.43","-0.925746"
555667,0,"0.337842","119.435","-1.01304"
555668,0,"0.56533","119.947","0.0826556"
555669,0,"0.353199","119.425","-0.956481"
555670,0,"0.59032","119.943","0.0852756"
555671,0,"0.435485","119.458","-0.847604"
555672,0,"0.333482","119.443","-1.05074"
555673,0,"0.345611","119.428","-1.00925"
555674,0,"0.368987","119.419","-1.00046"
555675,0,"0.37364","119.43","-0.984776"
555676,0,"0.430622","119.435","-0.875207"
555677,0,"0.57008","119.976","0.128468"
555678,0,"0.445769","119.421","-0.861106"
555679,0,"0.362365","119.401","-1.02692"
555680,0,"0.410479","119.42","-0.915902"
555681,0,"0.445927","119.447","-0.79514"
555682,0,"0.525385","119.45","-0.626169"
555683,0,"0.406862","119.46","-0.905604"
555684,0,"0.576497","119.931","0.0428709"
555685,0,"0.371805","119.427","-0.962757"
555686,0,"0.346417","119.424","-1.08497"
555687,0,"0.362227","119.413","-1.05492"
555688,0,"0.603573","119.967","0.135532"
555689,0,"0.598319","119.982","0.136957"
555690,0,"0.580523","119.947","0.0659892"
555691,0,"0.426002","119.425","-0.915863"
555692,0,"0.347699","119.423","-1.03463"
555693,0,"0.344768","119.418","-1.0309"
555694,0,"0.586161","119.93","0.0451399"
555695,0,"0.603502","119.957","0.133191"
555696,0,"0.436721","119.442","-0.865351"
555697,0,"0.389547","119.47","-0.90514"
555698,0,"0.374929","119.417","-0.962643"
555699,0,"0.378183","119.39","-1.03549"
555700,0,"0.424207","119.462","-0.84826"
555701,0,"0.585182","119.944","0.0880138"
555702,0,"0.523123","119.492","-0.570504"
555703,0,"0.435244","119.447","-0.838024"
555704,0,"0.584099","119.952","0.102506"
555705,0,"0.366584","119.421","-0.992805"
555706,0,"0.577341","119.977","0.107112"
555707,0,"0.588143","119.957","0.0593572"
555708,0,"0.702214","120.01","0.394565"
